country_code,capacity_gw,country_name,source
PRT,5.81,Portugal,Ember
PRI,0.96,Puerto Rico,Ember
QAT,1.68,Qatar,Ember
ROU,4.69,Romania,Ember
RUS,2.55,Russian Federation (the),Ember
SAU,4.34,Saudi Arabia,Ember
SRB,0.24,Serbia,Ember
SVK,0.87,Slovakia,Ember
SVN,1.31,Slovenia,Ember
ZAF,6.67,South Africa,Ember
KOR,26.65,South Korea,Ember
ESP,38.59,Spain,Ember
LKA,1.45,Sri Lanka,Ember
SWE,4.96,Sweden,Ember
CHE,7.79,Switzerland,Ember
TWN,14.28,Taiwan,Ember
THA,3.38,Thailand,Ember
TUN,0.77,Tunisia,Ember
TUR,19.88,Turkey,Ember
ARE,6.01,United Arab Emirates,Ember
GBR,17.6,United Kingdom,Ember
USA,177.47,United States of America,Ember
URY,0.33,Uruguay,Ember
VNM,18.67,Viet Nam,Ember
,1865.49,World,Ember
UKR,1.2,Ukraine,Wikipedia - https://en.wikipedia.org/wiki/Solar_power_by_country
TJK,0.0006,Tajikistan,CABAR.asia 2024 (600 kW USAID project) - https://cabar.asia/en/tajikistan-solar-energy-in-support-of-hydropower-plants
TKM,0.005,Turkmenistan,UNDP 2012 Report - https://www.undp.org/sites/g/files/zskgke326/files/migration/eurasia/Turkmenistan.pdf
TLS,0.0011,Timor-Leste,Asian Development Bank sector assessment 2016-2020 - https://www.adb.org/sites/default/files/linked-documents/cps-tim-2016-2020-ssa-05.pdf
DZA,0.46,Algeria,Wikipedia (Ember 2024 data) - https://en.wikipedia.org/wiki/Solar_power_by_country
SEN,0.23,Senegal,Wikipedia (Ember 2024 data) - https://en.wikipedia.org/wiki/Solar_power_by_country
AGO,0.31,Angola,Wikipedia (Ember 2024 data) - https://en.wikipedia.org/wiki/Solar_power_by_country
BEN,0.13,Benin,https://ember-energy.org/latest-insights/global-electricity-review-2025/
BFA,0.09,Burkina Faso,https://ember-energy.org/latest-insights/global-electricity-review-2025/
BDI,0.017,Burundi,https://ember-energy.org/latest-insights/global-electricity-review-2025/
CMR,0.09,Cameroon,https://ember-energy.org/latest-insights/the-first-evidence-of-a-take-off-in-solar-in-africa/
CPV,0.026,Cape Verde,IRENA 2023 via PV Magazine - https://www.pv-magazine.com/2024/11/14/cape-verde-runs-tender-for-10-mw-of-solar/
CAF,0.01,Central African Republic,https://ember-energy.org/latest-insights/the-first-evidence-of-a-take-off-in-solar-in-africa/
COM,0.004034,Comoros,IRENA 2023 via PVKnowhow - https://www.pvknowhow.com/solar-report/comoros/
DJI,0.02,Djibouti,https://ember-energy.org/latest-insights/global-electricity-review-2025/
ERI,0.01,Eritrea,https://ember-energy.org/latest-insights/the-first-evidence-of-a-take-off-in-solar-in-africa/
SWZ,0.03,Eswatini,https://www.globalsolarcouncil.org/news/global-solar-council-africas-solar-market-set-to-surge-42-in-2025-but-finance-bottlenecks-threaten-growth/
GAB,0.01,Gabon,https://ember-energy.org/latest-insights/the-first-evidence-of-a-take-off-in-solar-in-africa/
GMB,0.03,Gambia,https://www.pv-magazine.com/2023/02/10/gambia-inaugurates-23-mw-pv-plant/
GNQ,0.005,Equatorial Guinea,https://www.ren21.net/gsr-2025/downloads/pdf/go/GSR_2025_GO_2025_Full_Report.pdf
GIN,0.01,Guinea,https://ember-energy.org/latest-insights/global-electricity-review-2025/
GNB,0.005,Guinea-Bissau,https://www.ren21.net/gsr-2025/downloads/pdf/go/GSR_2025_GO_2025_Full_Report.pdf
CIV,0.05,Ivory Coast,https://ember-energy.org/latest-insights/global-electricity-review-2025/
LSO,0.005,Lesotho,https://ember-energy.org/latest-insights/global-electricity-review-2025/
MRT,0.04,Mauritania,https://ember-energy.org/latest-insights/global-electricity-review-2025/
MWI,0.03,Malawi,https://www.ren21.net/gsr-2025/downloads/pdf/go/GSR_2025_GO_2025_Full_Report.pdf
STP,0.0036,Sao Tome and Principe,World Bank National Energy Compact 2025 - https://thedocs.worldbank.org/en/doc/680a427c0554b887598d86080fdcc775-0010012025/original/Sao-Tome-National-Energy-Compact-Mission-300.pdf
SLE,0.02,Sierra Leone,https://ember-energy.org/latest-insights/the-first-evidence-of-a-take-off-in-solar-in-africa/
SOM,0.02,Somalia,https://ember-energy.org/latest-insights/the-first-evidence-of-a-take-off-in-solar-in-africa/
SSD,0.0384,South Sudan,Combined: PVKnowhow 2025 (38.4 MW total) - https://www.pvknowhow.com/solar-report/south-sudan/
SYC,0.017,Seychelles,PVKnowhow 2024 Report - https://www.pvknowhow.com/solar-report/seychelles/
TCD,0.02,Chad,https://ember-energy.org/latest-insights/the-first-evidence-of-a-take-off-in-solar-in-africa/
ALB,0.21,Albania,Wikipedia (Ember 2024 data) - https://en.wikipedia.org/wiki/Solar_power_by_country
COD,0.03,Democratic Republic of Congo,Wikipedia (Ember 2024 data) - https://en.wikipedia.org/wiki/Solar_power_by_country
CUB,0.28,Cuba,Wikipedia (Ember 2024 data) - https://en.wikipedia.org/wiki/Solar_power_by_country
GHA,0.19,Ghana,Wikipedia (Ember 2024 data) - https://en.wikipedia.org/wiki/Solar_power_by_country
GTM,0.1,Guatemala,Wikipedia (Ember 2024 data) - https://en.wikipedia.org/wiki/Solar_power_by_country
HND,0.53,Honduras,Wikipedia (Ember 2024 data) - https://en.wikipedia.org/wiki/Solar_power_by_country
IDN,0.63,Indonesia,Wikipedia (Ember 2024 data) - https://en.wikipedia.org/wiki/Solar_power_by_country
IRQ,0.04,Iraq,Wikipedia (Ember 2024 data) - https://en.wikipedia.org/wiki/Solar_power_by_country
ISR,5.52,Israel,Wikipedia (Ember 2024 data) - https://en.wikipedia.org/wiki/Solar_power_by_country
JOR,2.59,Jordan,Wikipedia (Ember 2024 data) - https://en.wikipedia.org/wiki/Solar_power_by_country
LBN,1.0,Lebanon,Wikipedia (Ember 2024 data) - https://en.wikipedia.org/wiki/Solar_power_by_country
MLI,0.1,Mali,Wikipedia (Ember 2024 data) - https://en.wikipedia.org/wiki/Solar_power_by_country
MUS,0.147,Mauritius,Ministry of Energy Annual Report 2023-2024 - https://publicutilities.govmu.org/Documents/Annual%20Report2023-2024.pdf
NAM,0.16,Namibia,Wikipedia (Ember 2024 data) - https://en.wikipedia.org/wiki/Solar_power_by_country
NPL,0.25,Nepal,Wikipedia (Ember 2024 data) - https://en.wikipedia.org/wiki/Solar_power_by_country
PAN,0.65,Panama,Wikipedia (Ember 2024 data) - https://en.wikipedia.org/wiki/Solar_power_by_country
SDN,0.19,Sudan,Wikipedia (Ember 2024 data) - https://en.wikipedia.org/wiki/Solar_power_by_country
SGP,1.348,Singapore,Energy Market Authority Singapore 2024 - https://ema.gov.sg/resources/singapore-energy-statistics/chapter6
TGO,0.07,Togo,Wikipedia (Ember 2024 data) - https://en.wikipedia.org/wiki/Solar_power_by_country
UZB,3.8,Uzbekistan,Wikipedia (Ember 2024 data) - https://en.wikipedia.org/wiki/Solar_power_by_country
YEM,0.29,Yemen,Wikipedia (Ember 2024 data) - https://en.wikipedia.org/wiki/Solar_power_by_country
ZMB,0.13,Zambia,Wikipedia (Ember 2024 data) - https://en.wikipedia.org/wiki/Solar_power_by_country
ETH,0.08,Ethiopia,Our World in Data - https://ourworldindata.org/grapher/installed-solar-pv-capacity
LBY,0.02,Libya,Our World in Data - https://ourworldindata.org/grapher/installed-solar-pv-capacity
MDG,0.01,Madagascar,Our World in Data - https://ourworldindata.org/grapher/installed-solar-pv-capacity
MOZ,0.01,Mozambique,Our World in Data - https://ourworldindata.org/grapher/installed-solar-pv-capacity
RWA,0.12,Rwanda,Our World in Data - https://ourworldindata.org/grapher/installed-solar-pv-capacity
TZA,0.02,Tanzania,Our World in Data - https://ourworldindata.org/grapher/installed-solar-pv-capacity
UGA,0.04,Uganda,Our World in Data - https://ourworldindata.org/grapher/installed-solar-pv-capacity
ZWE,0.09,Zimbabwe,Our World in Data - https://ourworldindata.org/grapher/installed-solar-pv-capacity
AFG,0.02,Afghanistan,Our World in Data - https://ourworldindata.org/grapher/installed-solar-pv-capacity
BHR,0.065,Bahrain,IEA Report 2024 via SAU Energy - https://www.saurenergy.me/emerging-middle-eastern-nations-to-advance-re-goals/
BTN,0.04,Bhutan,Our World in Data - https://ourworldindata.org/grapher/installed-solar-pv-capacity
BWA,0.006,Botswana,www.pv-magazine.com/
COG,0.0007,Congo,Our World in Data - https://ourworldindata.org/grapher/installed-solar-pv-capacity
NER,0.08,Niger,Our World in Data - https://ourworldindata.org/grapher/installed-solar-pv-capacity
LBR,0.003,Liberia,Our World in Data - https://ourworldindata.org/grapher/installed-solar-pv-capacity
SAH,0.1,Western Sahara,WSRW Report 2024 - https://wsrw.org/en/news/renewable-energy
HKG,0.33,Hong Kong,Our World in Data - https://ourworldindata.org/grapher/installed-solar-pv-capacity
PRK,0.14,North Korea,Our World in Data - https://ourworldindata.org/grapher/installed-solar-pv-capacity
MDV,0.07,Maldives,Our World in Data - https://ourworldindata.org/grapher/installed-solar-pv-capacity
PSE,0.2,Palestine,Our World in Data - https://ourworldindata.org/grapher/installed-solar-pv-capacity
BRN,0.005,Brunei,Our World in Data - https://ourworldindata.org/grapher/installed-solar-pv-capacity
SYR,0.06,Syria,Our World in Data - https://ourworldindata.org/grapher/installed-solar-pv-capacity
LAO,0.06,Laos,Our World in Data - https://ourworldindata.org/grapher/installed-solar-pv-capacity
ATG,0.02,Antigua and Barbuda,Our World in Data - https://ourworldindata.org/grapher/installed-solar-pv-capacity
BRB,0.07,Barbados,Our World in Data - https://ourworldindata.org/grapher/installed-solar-pv-capacity
DMA,0.0003,Dominica,Our World in Data - https://ourworldindata.org/grapher/installed-solar-pv-capacity
GRD,0.0035,Grenada,Our World in Data - https://ourworldindata.org/grapher/installed-solar-pv-capacity
KNA,0.0045,Saint Kitts and Nevis,Our World in Data - https://ourworldindata.org/grapher/installed-solar-pv-capacity
LCA,0.005,Saint Lucia,Our World in Data - https://ourworldindata.org/grapher/installed-solar-pv-capacity
VCT,0.0045,Saint Vincent and the Grenadines,Our World in Data - https://ourworldindata.org/grapher/installed-solar-pv-capacity
BHS,0.02,Bahamas,Our World in Data - https://ourworldindata.org/grapher/installed-solar-pv-capacity
HTI,0.004,Haiti,Our World in Data - https://ourworldindata.org/grapher/installed-solar-pv-capacity
JAM,0.12,Jamaica,Our World in Data - https://ourworldindata.org/grapher/installed-solar-pv-capacity
TTO,0.0045,Trinidad and Tobago,Our World in Data - https://ourworldindata.org/grapher/installed-solar-pv-capacity
FJI,0.01,Fiji,Our World in Data - https://ourworldindata.org/grapher/installed-solar-pv-capacity
PNG,0.005,Papua New Guinea,Our World in Data - https://ourworldindata.org/grapher/installed-solar-pv-capacity
SLB,0.006,Solomon Islands,Our World in Data - https://ourworldindata.org/grapher/installed-solar-pv-capacity
VUT,0.005,Vanuatu,Our World in Data - https://ourworldindata.org/grapher/installed-solar-pv-capacity
WSM,0.016,Samoa,Our World in Data - https://ourworldindata.org/grapher/installed-solar-pv-capacity
TON,0.02,Tonga,Our World in Data - https://ourworldindata.org/grapher/installed-solar-pv-capacity
FSM,0.007,Micronesia,Our World in Data - https://ourworldindata.org/grapher/installed-solar-pv-capacity
PLW,0.02,Palau,Our World in Data - https://ourworldindata.org/grapher/installed-solar-pv-capacity
KIR,0.004,Kiribati,Our World in Data - https://ourworldindata.org/grapher/installed-solar-pv-capacity
NRU,0.003,Nauru,Our World in Data - https://ourworldindata.org/grapher/installed-solar-pv-capacity
TUV,0.0045,Tuvalu,Our World in Data - https://ourworldindata.org/grapher/installed-solar-pv-capacity
MHL,0.003,Marshall Islands,Our World in Data - https://ourworldindata.org/grapher/installed-solar-pv-capacity
COK,0.0055,Cook Islands,Our World in Data - https://ourworldindata.org/grapher/installed-solar-pv-capacity
PFY,0.07,French Polynesia,Our World in Data - https://ourworldindata.org/grapher/installed-solar-pv-capacity
NIU,0.0018,Niue,Our World in Data - https://ourworldindata.org/grapher/installed-solar-pv-capacity
ASM,0.007,American Samoa,Our World in Data - https://ourworldindata.org/grapher/installed-solar-pv-capacity
GUM,0.1,Guam,Our World in Data - https://ourworldindata.org/grapher/installed-solar-pv-capacity
TKL,0.001,Tokelau,Our World in Data - https://ourworldindata.org/grapher/installed-solar-pv-capacity
PRY,0.001,Paraguay,Our World in Data - https://ourworldindata.org/grapher/installed-solar-pv-capacity
SUR,0.01,Suriname,Our World in Data - https://ourworldindata.org/grapher/installed-solar-pv-capacity
VEN,0.004,Venezuela,Our World in Data - https://ourworldindata.org/grapher/installed-solar-pv-capacity
GUY,0.018,Guyana,Our World in Data - https://ourworldindata.org/grapher/installed-solar-pv-capacity
BLZ,0.007,Belize,Our World in Data - https://ourworldindata.org/grapher/installed-solar-pv-capacity
NIC,0.035,Nicaragua,Our World in Data - https://ourworldindata.org/grapher/installed-solar-pv-capacity
AND,0.009,Andorra,Our World in Data - https://ourworldindata.org/grapher/installed-solar-pv-capacity
ISL,0.007,Iceland,Our World in Data - https://ourworldindata.org/grapher/installed-solar-pv-capacity
ATA,0.0002,Antarctica,British Antarctic Survey renewable projects 2025 - https://www.bas.ac.uk/media-post/renewables-milestone-reached-in-antarctica/
ATF,0.0032,French Southern and Antarctic Lands,green-overseas.org & TAAF renewable energy installations - http://www.green-overseas.org/en/pays-et-territoires/french-southern-and-antarctic-lands
FLK,0.0034,Falkland Islands,Falkland Islands Energy Strategy & green-overseas.org - https://www.green-overseas.org/en/pays-et-territoires/falkland-islands
GRL,0.001,Greenland,World Population Review 2025 - https://worldpopulationreview.com/country-rankings/solar-power-by-country
NCL,0.185,New Caledonia,World Population Review 2025 - https://worldpopulationreview.com/country-rankings/solar-power-by-country
